order_id,customer_id,order_date,product_category,price,delivery_delay_days,customer_rating,previous_returns,discount_percent,payment_method,city,is_festive_season,order_month,order_day,customer_order_count_before,returned
ORD105295,CUST2551,2024-01-01,Sports,2291.27,6,3.2,2,3,COD,Bangalore,0,1,1,0,0
ORD109372,CUST2591,2024-01-01,Sports,4852.48,3,2.5,1,37,UPI,Mumbai,0,1,1,0,0
ORD100845,CUST1912,2024-01-01,Books,1272.5,1,4.6,0,3,Credit Card,Bangalore,0,1,1,0,0
ORD108735,CUST1938,2024-01-01,Home,5581.77,3,1.4,2,9,Debit Card,Bangalore,0,1,1,0,0
ORD103350,CUST2276,2024-01-01,Sports,6483.57,0,2.3,1,58,UPI,Delhi,0,1,1,0,1
ORD106719,CUST2338,2024-01-01,Books,8425.69,2,1.5,1,31,Debit Card,Bangalore,1,1,1,0,0
ORD104212,CUST1337,2024-01-01,Books,5815.82,1,2.8,3,17,Debit Card,Bangalore,1,1,1,0,1
ORD107412,CUST2802,2024-01-01,Beauty,6040.35,6,1.4,0,43,COD,Delhi,0,1,1,0,1
ORD103553,CUST1962,2024-01-01,Beauty,6369.49,2,1.9,2,35,COD,Mumbai,0,1,1,0,0
ORD104432,CUST1075,2024-01-01,Books,3110.34,3,1.1,0,15,Credit Card,Chennai,0,1,1,0,0
ORD104022,CUST2673,2024-01-01,Sports,300.0,1,4.0,0,35,Credit Card,Hyderabad,0,1,1,0,0
ORD103915,CUST1581,2024-01-01,Electronics,6218.26,8,2.2,0,50,Credit Card,Hyderabad,0,1,1,0,1
ORD101266,CUST1024,2024-01-01,Electronics,9741.02,3,1.5,2,59,COD,Bangalore,1,1,1,0,1
ORD107928,CUST1991,2024-01-01,Electronics,3848.17,1,3.5,1,19,Debit Card,Hyderabad,0,1,1,0,0
ORD108812,CUST2983,2024-01-01,Beauty,4916.16,2,3.0,0,14,Credit Card,Chennai,1,1,1,0,0
ORD109913,CUST1919,2024-01-01,Sports,5000.22,9,4.9,0,25,COD,Delhi,1,1,1,0,0
ORD109008,CUST2745,2024-01-01,Beauty,300.0,3,3.5,1,32,COD,Mumbai,0,1,1,0,0
ORD100416,CUST2704,2024-01-01,Clothing,5179.73,3,3.4,2,24,Credit Card,Bangalore,1,1,1,0,0
ORD102396,CUST2410,2024-01-01,Home,1688.72,1,2.2,0,40,UPI,Delhi,0,1,1,0,0
ORD106911,CUST2036,2024-01-01,Sports,1124.58,3,3.0,1,31,Credit Card,Bangalore,1,1,1,0,0
ORD109906,CUST2469,2024-01-01,Sports,5982.92,3,3.5,1,13,COD,Mumbai,1,1,1,0,0
ORD102447,CUST2259,2024-01-01,Beauty,5139.38,4,4.4,2,2,Debit Card,Hyderabad,1,1,1,0,0
ORD105073,CUST2783,2024-01-01,Electronics,3018.86,2,3.1,2,12,Credit Card,Bangalore,1,1,1,0,0
ORD106038,CUST1261,2024-01-01,Beauty,7149.29,5,4.6,1,1,Credit Card,Chennai,1,1,1,0,0
ORD100156,CUST2051,2024-01-01,Clothing,6876.77,6,2.5,2,36,Debit Card,Bangalore,0,1,1,0,1
ORD104128,CUST1259,2024-01-02,Books,5066.2,4,3.3,2,42,COD,Chennai,0,1,2,0,0
ORD101247,CUST2906,2024-01-02,Electronics,7798.69,3,4.6,1,17,Debit Card,Chennai,0,1,2,0,0
ORD106343,CUST1238,2024-01-02,Sports,9464.4,5,1.6,1,29,UPI,Hyderabad,0,1,2,0,0
ORD100894,CUST2243,2024-01-02,Beauty,1787.99,2,2.4,1,5,COD,Hyderabad,0,1,2,0,0
ORD108876,CUST1515,2024-01-02,Home,2719.21,3,4.1,6,52,UPI,Hyderabad,1,1,2,0,0
ORD107334,CUST2624,2024-01-02,Clothing,5192.15,1,3.2,4,10,COD,Chennai,0,1,2,0,0
ORD102056,CUST2804,2024-01-02,Electronics,3226.56,1,2.3,1,27,COD,Delhi,0,1,2,0,1
ORD107185,CUST2065,2024-01-02,Home,6804.74,3,2.0,2,6,COD,Chennai,0,1,2,0,0
ORD104963,CUST1702,2024-01-02,Home,1753.53,4,3.3,2,54,Debit Card,Chennai,1,1,2,0,0
ORD102195,CUST2284,2024-01-02,Clothing,5879.03,0,2.8,1,34,Credit Card,Delhi,0,1,2,0,0
ORD103158,CUST2232,2024-01-02,Beauty,6942.82,2,4.7,1,18,Debit Card,Hyderabad,0,1,2,0,0
ORD105224,CUST1048,2024-01-02,Electronics,6448.79,1,4.2,0,15,Debit Card,Mumbai,0,1,2,0,0
ORD108337,CUST2542,2024-01-02,Clothing,10391.05,2,2.0,2,28,Credit Card,Mumbai,1,1,2,0,0
ORD109198,CUST2296,2024-01-02,Sports,4240.55,2,2.0,0,38,UPI,Mumbai,1,1,2,0,0
ORD100902,CUST2384,2024-01-02,Clothing,8168.87,4,2.8,3,24,UPI,Hyderabad,1,1,2,0,1
ORD100782,CUST2296,2024-01-02,Home,10722.47,1,1.9,2,46,Credit Card,Bangalore,0,1,2,1,0
ORD105741,CUST2658,2024-01-02,Beauty,407.22,6,1.8,1,38,Debit Card,Chennai,1,1,2,0,1
ORD103076,CUST2678,2024-01-02,Home,9402.13,6,4.8,4,8,UPI,Bangalore,1,1,2,0,0
ORD103256,CUST1041,2024-01-02,Sports,4538.57,0,3.0,2,21,Debit Card,Chennai,0,1,2,0,0
ORD104147,CUST1669,2024-01-02,Sports,3453.7,4,1.3,3,15,Debit Card,Chennai,1,1,2,0,1
ORD100597,CUST1635,2024-01-02,Books,5370.26,2,1.7,2,57,Credit Card,Delhi,0,1,2,0,0
ORD100837,CUST2866,2024-01-02,Sports,12718.26,2,4.9,2,48,Debit Card,Delhi,1,1,2,0,0
ORD100450,CUST2300,2024-01-03,Sports,5190.15,3,4.6,4,18,Credit Card,Bangalore,0,1,3,0,0
ORD103971,CUST2201,2024-01-03,Books,3209.04,2,4.2,3,45,Credit Card,Bangalore,0,1,3,0,0
ORD109978,CUST2916,2024-01-03,Books,6086.55,8,2.4,2,22,Credit Card,Delhi,0,1,3,0,1
ORD100632,CUST1896,2024-01-03,Books,5102.61,3,3.8,3,53,Credit Card,Mumbai,0,1,3,0,0
ORD105398,CUST1421,2024-01-03,Clothing,7989.17,6,2.4,0,0,UPI,Delhi,1,1,3,0,0
ORD103855,CUST2449,2024-01-03,Clothing,5198.42,9,2.6,4,28,COD,Delhi,1,1,3,0,1
ORD102558,CUST1207,2024-01-03,Electronics,4967.18,4,3.2,2,16,COD,Mumbai,0,1,3,0,0
